id,url,title,published_date,domain,country,severity,incident_type,description,language,source_country,collected_at,matched_query,validation_status,validation_reason,evidence_text,incident_fingerprint
1035,https://english.aawsat.com/arab-world/5317676-ngos-sound-alarm-over-tunisia-prison-deaths-due-heatwave,NGOs Sound Alarm over Tunisia Prison Deaths Due to Heatwave,20260913T084500Z,english.aawsat.com,Syria,HIGH,DETENTION,"Dozens of political figures, journalists and businessmen, among others, have been detained since Saied staged a sweeping power grab in 2021.",en,Syria,2026-09-13 22:06:19,gdelt:english.aawsat.com,validated,media subject and harm action found in returned text,"Dozens of political figures, journalists and businessmen, among others, have been detained since Saied staged a sweeping power grab in 2021.",dozens political figures journalists businessmen among others have been detained since saied
1016,https://davaotoday.com/headline/amid-threats-to-press-freedom-davao-journalists-push-for-renewed-focus-on-ethical-reporting/,"Amid threats to press freedom , Davao journalists push for renewed focus on ethical reporting",20260911T134500Z,davaotoday.com,Philippines,CRITICAL,KILLING,"And year after year, a journalist still gets killed,"" Soriano said.",en,Philippines,2026-09-12 06:35:36,gdelt:davaotoday.com,validated,media subject and harm action found in returned text,"And year after year, a journalist still gets killed,"" Soriano said.",year after year journalist still gets killed soriano
1019,https://www.zocalo.com.mx/me-enseno-los-horrores-del-matrimonio-gaby-alcala-exesposa-del-fallecido-oscar-mario-beteta/,"  Me ense los horrores del matrimonio , Gaby Alcalá , exesposa del fallecido Óscar Mario Beteta – Periódico Zócalo | Noticias de Saltillo , Torreón , Piedras Negras , Monclova , Acuña",20260912T064500Z,zocalo.com.mx,Mexico,HIGH,ATTACK,"De acuerdo con su relato, fueron varias las ocasiones en las que presuntamente fue agredida físicamente por el periodista.",es,Mexico,2026-09-12 12:26:26,gdelt:zocalo.com.mx,validated,media subject and harm action found in returned text,"De acuerdo con su relato, fueron varias las ocasiones en las que presuntamente fue agredida físicamente por el periodista.",de acuerdo con su relato fueron varias las ocasiones en las que
1020,https://elpais.com/internacional/2026-09-12/entre-tropas-del-kremlin-y-aroma-sovietico-en-transnistria-la-entelequia-pro-rusa-de-moldavia.html,"Entre tropas del Kremlin y aroma soviético en Transnistria, la entelequia pro rusa de Moldavia","Sat, 12 Sep 2026 03:40:00 GMT",elpais.com,ES,HIGH,DETENTION,"El coche en el que viajan los reporteros avanza sin ser detenido a través de la región separatista de Transnistria, una república autoproclamada en territorio de Moldavia, en el margen izquierdo del río Dniéster y fronteriza con Ucrania.",es,ES,2026-09-12 17:00:04,rss:elpais.com,validated,media subject and harm action found in returned text,"El coche en el que viajan los reporteros avanza sin ser detenido a través de la región separatista de Transnistria, una república autoproclamada en territorio de Moldavia, en el margen izquierdo del río Dniéster y fronteriza con Ucrania.",el coche en el que viajan los reporteros avanza sin ser detenido
1021,https://dailytrust.com/cybercrime-law-and-you/,Cybercrime law and you,20260912T033000Z,dailytrust.com,Niger,HIGH,DETENTION,"Cybercrime law and you Two years after the enactment of the amended version of the Cybercrimes Act 2015, individuals, including journalists, have been targeted, with many arrested and detained.",en,Niger,2026-09-12 17:00:04,gdelt:dailytrust.com,validated,media subject and harm action found in returned text,"Cybercrime law and you Two years after the enactment of the amended version of the Cybercrimes Act 2015, individuals, including journalists, have been targeted, with many arrested and detained.",cybercrime law you two years after enactment amended version cybercrimes act 2015
1003,https://www.abc.es/internacional/hong-kong-impone-siete-anos-carcel-organizadores-20260911074915-nt.html,Hong Kong impone hasta siete años de cárcel a los organizadores de la vigilia por la matanza de Tiananmen,"Fri, 11 Sep 2026 07:49:15 +0200",www.abc.es,ES,HIGH,DETENTION,"Hong Kong impone hasta siete años de cárcel a los organizadores de la vigilia por la matanza de Tiananmen Hong Kong impone hasta siete años de cárcel a los organizadores de la vigilia por la matanza de Tiananmen Tres activistas, declarados culpables de «incitación a la subversión» por sus protestas contra «la dictadura de partido único» Corresponsal en Pekín Un tribunal de Hong Kong ha condenado esta mañana a entre cinco y siete años de cárcel a tres activistas organizadores de la vigilia en recuerdo de la matanza de Tiananmen.",es,ES,2026-09-11 06:42:18,rss:www.abc.es,validated,media subject and harm action found in returned text,"Hong Kong impone hasta siete años de cárcel a los organizadores de la vigilia por la matanza de Tiananmen Hong Kong impone hasta siete años de cárcel a los organizadores de la vigilia por la matanza de Tiananmen Tres activistas, declarados culpables de «incitación a la subversión» por sus protestas contra «la dictadura de partido único» Corresponsal en Pekín Un tribunal de Hong Kong ha condenado esta mañana a entre cinco y siete años de cárcel a tres activistas organizadores de la vigilia en recuerdo de la matanza de Tiananmen.",hong kong impone hasta siete os de c rcel los organizadores de
1005,https://elpais.com/espana/catalunya/2026-09-11/el-choque-entre-antifascistas-y-seguidores-de-alianca-enrarece-la-celebracion-de-la-diada.html,El choque entre antifascistas y seguidores de Aliança enrarece la celebración de la Diada,"Fri, 11 Sep 2026 12:04:55 GMT",elpais.com,ES,HIGH,ATTACK,"Junts culpa a Illa de ""fomentar la polarización"" para ""tapar la mala gestión"" La tensión vivida en la tarde del jueves entre simpatizantes de Aliança Catalana y varios grupos antifascistas en el Fossar de les Moreres de Barcelona —con cargas policiales incluidas y un fotoperiodista agredido— ha enrarecido este viernes la conmemoración de la Diada: la ofrenda floral a Rafael Casanova en el Eixample de Barcelona.",es,ES,2026-09-11 12:53:30,rss:elpais.com,validated,media subject and harm action found in returned text,"Junts culpa a Illa de ""fomentar la polarización"" para ""tapar la mala gestión"" La tensión vivida en la tarde del jueves entre simpatizantes de Aliança Catalana y varios grupos antifascistas en el Fossar de les Moreres de Barcelona —con cargas policiales incluidas y un fotoperiodista agredido— ha enrarecido este viernes la conmemoración de la Diada: la ofrenda floral a Rafael Casanova en el Eixample de Barcelona.",junts culpa illa de fomentar la polarizaci n para tapar la mala
1012,https://www.hurriyet.com.tr/gundem/kasif-kozinoglu-sorusturmasinda-1-supheli-tutuklandi-43302897,Kaşif Kozinoğlu soruşturmasında 1 şüpheli tutuklandı,20260910T221500Z,hurriyet.com.tr,Turkey,HIGH,DETENTION,"Kaşif Kozinoğlu soruşturmasında 1 şüpheli tutuklandı Güncelleme Tarihi: Silivri Cumhuriyet Başsavcılığı'nca, 2011 yılında Silivri Cezaevi'nde şüpheli şekilde hayatını kaybettiği değerlendirilen eski MİT görevlisi Kaşif Kozinoğlu'nun ölümüne ilişkin yürütülen soruşturma kapsamında, aralarında 2 gazeteci ve sağlık çalışanlarının da bulunduğu 9 kişi gözaltına alındı.",tr,Turkey,2026-09-11 17:35:54,gdelt:hurriyet.com.tr,validated,media subject and harm action found in returned text,"Kaşif Kozinoğlu soruşturmasında 1 şüpheli tutuklandı Güncelleme Tarihi: Silivri Cumhuriyet Başsavcılığı'nca, 2011 yılında Silivri Cezaevi'nde şüpheli şekilde hayatını kaybettiği değerlendirilen eski MİT görevlisi Kaşif Kozinoğlu'nun ölümüne ilişkin yürütülen soruşturma kapsamında, aralarında 2 gazeteci ve sağlık çalışanlarının da bulunduğu 9 kişi gözaltına alındı.",ka if kozino lu soru turmas nda 1 pheli tutukland g ncelleme
1013,https://es.euronews.com/my-europe/2026/09/10/al-menos-3-detenidos-y-un-fotoperiodista-agredido-en-los-choques-independentistas,Tensión entre independentistas : al menos 3 detenidos y un fotoperiodista agredido horas antes de la Diada,20260911T010000Z,es.euronews.com,United States,HIGH,DETENTION,"Tensión entre independentistas : al menos 3 detenidos y un fotoperiodista agredido horas antes de la Diada La presencia de Sílvia Orriols y su formación política, Aliança Catalana, en la víspera de la jornada más símbolica para los independentistas catalanes, la Diada, ha provocado una concentración antifascista de diferentes organizaciones contrarias a la presencia de los ultraderechistas.",es,United States,2026-09-11 22:22:06,gdelt:es.euronews.com,validated,media subject and harm action found in returned text,"Tensión entre independentistas : al menos 3 detenidos y un fotoperiodista agredido horas antes de la Diada La presencia de Sílvia Orriols y su formación política, Aliança Catalana, en la víspera de la jornada más símbolica para los independentistas catalanes, la Diada, ha provocado una concentración antifascista de diferentes organizaciones contrarias a la presencia de los ultraderechistas.",tensi n entre independentistas al menos 3 detenidos y un fotoperiodista agredido
980,https://www.brasil247.com/nordeste/desaparecimento-de-criancas-no-maranhao-pode-chegar-a-interpol/,Desaparecimento de crianças no Maranhão pode chegar à Interpol,"Thu, 10 Sep 2026 02:09:53 +0000",brasil247.com,BR,CRITICAL,DISAPPEARANCE,"Desaparecimento de crianças no Maranhão pode chegar à Interpol Lucas Pordeus León – Repórter da Agência Brasil A mãe das crianças desaparecidas há mais de oito meses em Bacabal, no Maranhão, pediu à Polícia Federal (PF) para incluir Ágatha Isabelly, de 6 anos, e Allan Michael, de 4 anos, na Difusão Amarela da Organização Internacional de Polícia Criminal (Interpol).",pt,BR,2026-09-10 06:49:33,rss:brasil247.com,validated,media subject and harm action found in returned text,"Desaparecimento de crianças no Maranhão pode chegar à Interpol Lucas Pordeus León – Repórter da Agência Brasil A mãe das crianças desaparecidas há mais de oito meses em Bacabal, no Maranhão, pediu à Polícia Federal (PF) para incluir Ágatha Isabelly, de 6 anos, e Allan Michael, de 4 anos, na Difusão Amarela da Organização Internacional de Polícia Criminal (Interpol).",desaparecimento de crian as no maranh o pode chegar interpol lucas pordeus
